date,strike,maturity,true_price,computed_price,abs_error
01-Jan-2025,1220,0.156164,49.5,63.7926,14.2926
01-Jan-2025,1210,0.156164,55.1,69.1838,14.0838
01-Jan-2025,1040,0.156164,252.6,199.14,53.4596
01-Jan-2025,1020,0.156164,271.3,217.762,53.5379
01-Jan-2025,1200,0.156164,60.85,74.8622,14.0122
01-Jan-2025,1330,0.156164,19.5,22.4903,2.99033
01-Jan-2025,1280,0.232877,46.15,59.142,12.992
01-Jan-2025,1520,0.156164,1.65,1.99653,0.346525
01-Jan-2025,1160,0.156164,95.8,100.39,4.58971
01-Jan-2025,1280,0.156164,23.35,37.38,14.03
01-Jan-2025,1400,0.156164,4.8,10.057,5.25696
01-Jan-2025,1260,0.156164,29.55,45.0796,15.5296
01-Jan-2025,1120,0.156164,170,130.1,39.8998
01-Jan-2025,1110,0.156164,131.75,138.107,6.35658
01-Jan-2025,1360,0.156164,7.4,16.14,8.73997
01-Jan-2025,1080,0.156164,216.25,163.308,52.9419
01-Jan-2025,1060,0.156164,234.25,180.953,53.2969
01-Jan-2025,1340,0.156164,10,20.1804,10.1804
01-Jan-2025,1190,0.156164,67.5,80.826,13.326
01-Jan-2025,1060,0.0794521,292.85,169.804,123.046
01-Jan-2025,1020,0.0794521,331.15,208.939,122.211
01-Jan-2025,1000,0.0794521,230,228.697,1.30271
01-Jan-2025,1080,0.0794521,274,150.626,123.374
01-Jan-2025,1460,0.0794521,0.5,0.374953,0.125047
01-Jan-2025,1090,0.0794521,198.1,141.199,56.9015
01-Jan-2025,1270,0.0794521,10.45,20.5952,10.1452
01-Jan-2025,1250,0.0794521,16.75,27.7658,11.0158
01-Jan-2025,1260,0.0794521,13.25,23.9834,10.7334
01-Jan-2025,1430,0.0794521,0.65,0.808762,0.158762
01-Jan-2025,1240,0.0794521,21.15,31.9588,10.8088
01-Jan-2025,1230,0.0794521,26.05,36.5742,10.5242
01-Jan-2025,1440,0.0794521,0.5,0.629321,0.129321
01-Jan-2025,1420,0.0794521,0.65,1.03371,0.38371
01-Jan-2025,1410,0.0794521,0.7,1.31395,0.613948
01-Jan-2025,1220,0.0794521,31.5,41.6195,10.1195
01-Jan-2025,1400,0.0794521,0.8,1.66086,0.860862
01-Jan-2025,1210,0.0794521,37.45,47.0974,9.6474
01-Jan-2025,1200,0.0794521,44.4,53.0051,8.60509
01-Jan-2025,1390,0.0794521,0.85,2.08756,1.23756
01-Jan-2025,1380,0.0794521,1.05,2.60899,1.55899
01-Jan-2025,1190,0.0794521,51.55,59.3348,7.78476
